feature,group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,U,p_raw,effect_r,p_bonferroni,significant_bonferroni,effect_magnitude
valence_pos,ESConv-supporter,LMSYS-assistant,12759,202030,0.5537900468688769,0.12244116788100778,0.341619,0.0097245,2213346450.5,0.0,-0.717302858624665,0.0,True,large
valence_pos,ESConv-supporter,WildChat-assistant,12759,145142,0.5537900468688769,0.12175553167243112,0.341619,0.029192000000000003,1525936306.0,0.0,-0.6479979274189454,0.0,True,large
valence_pos,LMSYS-assistant,WildChat-assistant,202030,145142,0.12244116788100778,0.12175553167243112,0.0097245,0.029192000000000003,12168419614.0,0.0,0.17004373788925375,0.0,True,small
valence_neg,ESConv-user,WildChat-user,13889,145142,0.30137839131686944,0.022833985235149026,0.045675,0.006157,1770881219.0,0.0,-0.7569335926000471,0.0,True,large
empathy_markers,ESConv-supporter,LMSYS-assistant,12759,202030,0.030676830488481233,0.004148924788801879,0.0,0.0,1567956291.5,0.0,-0.21655415535295042,0.0,True,small
empathy_markers,ESConv-supporter,WildChat-assistant,12759,145142,0.030676830488481233,0.0024066919287425363,0.0,0.0,1118595727.5,0.0,-0.2080736484814245,0.0,True,small
emotion_entropy,ESConv-supporter,LMSYS-assistant,12759,202030,2.1557359988111005,0.7943408222643967,2.186053186378143,0.4788620538003032,2327111180.0,0.0,-0.8055712339334096,0.0,True,large
emotion_entropy,ESConv-supporter,WildChat-assistant,12759,145142,2.1557359988111005,0.7259842001098713,2.186053186378143,0.5205797105518886,1687400884.0,0.0,-0.8223782661324897,0.0,True,large
emotion_entropy,ESConv-user,LMSYS-assistant,13889,202030,1.975718728493195,0.7943408222643967,2.024971116184455,0.4788620538003032,2405985359.0,0.0,-0.7148894719746564,0.0,True,large
emotion_entropy,ESConv-user,WildChat-assistant,13889,145142,1.975718728493195,0.7259842001098713,2.024971116184455,0.5205797105518886,1761847445.0,0.0,-0.7479709694504721,0.0,True,large
valence_arc_slope_pos,ESConv,LMSYS,910,50000,0.029479188888082607,0.07853876178006435,0.026715088471248198,0.0021111000000000003,30415805.0,3.586838742157562e-68,-0.33695846153846154,4.3042064905890744e-67,True,medium
valence_arc_slope_pos,ESConv,WildChat,910,50000,0.029479188888082607,0.03889342049994063,0.026715088471248198,0.00056424999999995,35044107.0,2.703826750751742e-172,-0.5404003076923076,3.2445921009020903e-171,True,large
