platform,feature,n,mean,cohens_d_vs_esconv
chatgpt,valence_pos,4991,0.24179792442255946,-0.7175
claude,valence_pos,3478,0.24924893814721613,-0.7004
gemini,valence_pos,4987,0.3109972455899369,-0.5494
grok,valence_pos,4974,0.2108479479351676,-0.7944
perplexity,valence_pos,5043,0.10192288391028684,-1.1408
chatgpt,emotion_entropy,4991,0.9333967269701646,-1.763
claude,emotion_entropy,3478,1.0904001914313148,-1.4541
gemini,emotion_entropy,4987,1.160051755394066,-1.3774
grok,emotion_entropy,4974,0.883512046373153,-1.8291
perplexity,emotion_entropy,5043,0.6697214757279042,-2.3164
chatgpt,empathy_markers,4991,0.005820958669383519,-0.4869
claude,empathy_markers,3478,0.005228618518899304,-0.5983
gemini,empathy_markers,4987,0.00810802774366968,-0.4774
grok,empathy_markers,4974,0.0035173584955420028,-0.6412
perplexity,empathy_markers,5043,0.0035251515309047245,-0.6427
